Left_distance_reading, Front_distance_reading, Left_motor_speed, Right_motor_speed
385.938,1553.29,121.504,115
385.938,1553.29,121.504,115
385.938,1553.29,121.504,115
385.938,1553.29,121.504,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
377.047,1556.29,125.616,115
384.125,1553.29,122.342,115
384.125,1553.29,122.342,115
384.125,1553.29,122.342,115
384.125,1553.29,122.342,115
384.125,1553.29,122.342,115
384.125,1553.29,122.342,115
384.125,1553.29,122.342,115
384.125,1553.29,122.342,115
384.125,1553.29,122.342,115
384.125,1553.29,122.342,115
384.125,1553.29,122.342,115
384.125,1553.29,122.342,115
384.125,1553.29,122.342,115
384.125,1553.29,122.342,115
384.125,1553.29,122.342,115
384.125,1553.29,122.342,115
384.125,1553.29,122.342,115
384.125,1553.29,122.342,115
384.125,1553.29,122.342,115
384.125,1553.29,122.342,115
384.125,1553.29,122.342,115
384.125,1553.29,122.342,115
384.125,1553.29,122.342,115
384.125,1553.29,122.342,115
384.125,1553.29,122.342,115
384.125,1553.29,122.342,115
384.125,1553.29,122.342,115
384.125,1553.29,122.342,115
384.125,1553.29,122.342,115
384.125,1553.29,122.342,115
384.125,1553.29,122.342,115
384.125,1553.29,122.342,115
384.125,1553.29,122.342,115
384.125,1553.29,122.342,115
384.125,1553.29,122.342,115
384.125,1553.29,122.342,115
384.125,1553.29,122.342,115
384.125,1553.29,122.342,115
384.125,1553.29,122.342,115
384.125,1553.29,122.342,115
384.125,1553.29,122.342,115
